Money;Date
202.01;2021-04-15 00:31:24.357756
199.99;2021-04-15 00:34:14.522322
199.99;2021-04-15 00:34:38.270641
199.30;2021-04-15 00:35:23.858664
200.12;2021-04-15 00:35:47.733540
200.12;2021-04-15 00:36:11.610677
198.12;2021-04-15 00:37:18.744438
199.11;2021-04-15 00:37:39.280514
200.08;2021-04-15 00:38:30.162498
201.86;2021-04-15 00:41:19.907112
203.70;2021-04-15 00:44:33.801601
201.66;2021-04-15 00:46:15.828595
203.46;2021-04-15 00:47:29.876167
205.23;2021-04-15 00:48:01.756214
207.01;2021-04-15 00:48:34.233289
204.94;2021-04-15 00:49:34.493365
205.19;2021-04-15 00:51:51.375730
206.50;2021-04-15 00:53:36.988164
204.44;2021-04-15 00:54:05.643963
202.40;2021-04-15 00:54:54.315612
204.15;2021-04-15 00:55:46.810808
202.11;2021-04-15 00:56:11.925088
200.09;2021-04-15 00:57:03.777918
201.87;2021-04-15 00:57:53.139452
203.81;2021-04-15 00:58:19.900415
201.77;2021-04-15 00:58:45.524242
201.77;2021-04-15 01:00:40.562887
201.77;2021-04-15 01:01:46.142988
202.76;2021-04-15 01:23:20.654776
203.74;2021-04-15 01:24:11.396602
201.70;2021-04-15 01:26:03.164688
199.68;2021-04-15 01:26:26.897548
205.21;2021-04-15 01:26:50.695823
206.24;2021-04-15 01:27:18.515750
204.18;2021-04-15 01:28:00.594070
202.14;2021-04-15 01:28:24.349661
203.05;2021-04-15 01:28:48.154728
203.05;2021-04-15 01:29:11.999175
201.02;2021-04-15 01:29:52.298669
202.04;2021-04-15 01:30:12.342653
203.01;2021-04-15 01:31:26.498747
204.03;2021-04-15 01:31:51.253438
201.99;2021-04-15 01:32:47.144704
201.99;2021-04-15 01:33:10.956455
200.91;2021-04-15 01:33:37.711015
198.90;2021-04-15 01:34:21.509959
196.91;2021-04-15 01:35:24.573036
197.58;2021-04-15 01:35:48.344505
197.58;2021-04-15 01:36:12.165937
198.27;2021-04-15 01:36:46.467331
196.29;2021-04-15 01:38:26.715770
194.33;2021-04-15 01:38:50.479309
199.64;2021-04-15 01:39:14.217413
200.66;2021-04-15 01:40:06.244969
201.65;2021-04-15 01:40:57.266672
199.63;2021-04-15 01:41:36.190888
197.63;2021-04-15 01:41:59.932568
198.58;2021-04-15 01:42:20.004420
199.55;2021-04-15 01:42:42.243166
197.55;2021-04-15 01:43:59.939049
198.46;2021-04-15 01:44:20.567431
199.47;2021-04-15 01:48:24.498579
200.43;2021-04-15 01:49:10.148995
201.43;2021-04-15 01:50:47.576309
202.25;2021-04-15 01:51:54.091456
202.25;2021-04-15 01:52:17.908844
203.26;2021-04-15 01:52:51.139322
204.28;2021-04-15 01:54:22.208934
205.28;2021-04-15 01:55:04.180707
206.28;2021-04-15 01:55:26.364782
207.25;2021-04-15 01:55:46.981480
205.18;2021-04-15 01:56:44.443288
205.18;2021-04-15 01:57:08.090281
205.18;2021-04-15 01:57:31.940861
206.22;2021-04-15 01:58:45.987031
207.30;2021-04-15 02:00:05.884609
205.23;2021-04-15 02:00:25.340587
203.18;2021-04-15 02:00:49.084052
207.69;2021-04-15 02:01:12.896581
206.69;2021-04-15 02:03:12.208282
207.72;2021-04-15 02:03:33.931091
208.78;2021-04-15 02:04:59.205047
209.78;2021-04-15 02:06:01.032253
207.68;2021-04-15 02:06:36.962684
207.68;2021-04-15 02:07:00.675192
205.60;2021-04-15 02:07:24.475507
205.60;2021-04-15 02:07:48.239853
205.60;2021-04-15 02:09:11.126327
203.54;2021-04-15 02:10:05.907366
204.50;2021-04-15 02:10:29.720877
202.46;2021-04-15 02:10:49.194362
202.46;2021-04-15 02:11:12.860285
202.46;2021-04-15 02:11:36.602448
201.40;2021-04-15 02:13:08.231866
199.39;2021-04-15 02:14:43.237134
197.40;2021-04-15 02:15:07.018295
198.39;2021-04-15 02:15:30.837481
196.41;2021-04-15 02:15:59.059117
197.07;2021-04-15 02:16:22.851278
197.07;2021-04-15 02:16:46.665564
198.02;2021-04-15 02:17:31.004553
198.97;2021-04-15 02:17:52.579267
199.95;2021-04-15 02:18:13.727895
200.97;2021-04-15 02:19:38.320794
201.93;2021-04-15 02:20:22.734647
203.10;2021-04-15 02:21:06.123243
201.07;2021-04-15 02:21:29.288900
199.06;2021-04-15 02:21:52.949351
202.16;2021-04-15 02:22:16.711660
203.15;2021-04-15 02:23:08.098977
204.14;2021-04-15 02:26:09.023314
205.14;2021-04-15 02:26:46.922583
206.17;2021-04-15 02:29:07.275573
204.11;2021-04-15 02:30:46.470708
